,div,p
64,Worker utilising land for planting in Luangmanis EstateIn FocUs: covId-19,['In FocUs: covId-19']
65,"IOI CORPORATION BERHADSUSTAINABILITY REPORT 2020 50 51Common vegetables, fruits and cooking ingredients planted by the workers are eggplant, tomatoes, chilies, water spinach, pineapple, papaya, mangoes, lemongrass, turmeric, galangal and many others.IOI further wanted to assess the value from the initiative by conducting detailed studies in Luangmanis Estate, Baturong 1 Estate and Kahang Estate which represented the Sandakan, Lahad Datu and Peninsular regions respectively. Currently, the total planted area for the estates in this study is 4,244 m 2 with the involvement from 260 households. In Indonesia, especially at PT SKS and PT BSS, most of the housing areas have been allocated their own areas to plant vegetables and rootstock plants for their own use. However, the official monitoring of the data for this initiative has not been conducted yet due to the pandemic.The management is currently in the process of identifying more areas for the workers to encourage more workers to be involved in this initiative as it has also contributed to enriching the lives of our employees by promoting tighter communal relationships among our employees and served as a beneficial leisure activity. This partnership between our management and workers reflects our commitment in contributing towards UN SDG 17.A proud worker with his crops in Baturong 1 Estate","['Common vegetables, fruits and cooking ingredients planted by the workers are eggplant, tomatoes, chilies, water spinach, pineapple, papaya, mangoes, lemongrass, turmeric, galangal and many others.', 'IOI further wanted to assess the value from the initiative by conducting detailed studies in Luangmanis Estate, Baturong 1 Estate and Kahang Estate which represented the Sandakan, Lahad Datu and Peninsular regions respectively. Currently, the total planted area for the estates in this study is 4,244 m 2 with the involvement from 260 households. In Indonesia, especially at PT SKS and PT BSS, most of the housing areas have been allocated their own areas to plant vegetables and rootstock plants for their own use. However, the official monitoring of the data for this initiative has not been conducted yet due to the pandemic.', 'The management is currently in the process of identifying more areas for the workers to encourage more workers to be involved in this initiative as it has also contributed to enriching the lives of our employees by promoting tighter communal relationships among our employees and served as a beneficial leisure activity. This partnership between our management and workers reflects our commitment in contributing towards UN SDG 17.', 'A proud worker with his crops in Baturong 1 Estate']"
66,"learnings from covId-19 PandemicHaving good governance in place is crucial in ensuring appropriate actions are taken to handle a crisis. This is even more so during the COVID-19 pandemic and IOI was able to demonstrate our good governance through our ability to operate more or less as usual. Such assurance was demonstrated during the MCO when we managed to assure our employees, suppliers, customers and investors that most of the operations are still able to operate through well-established guidelines and SOP, strong internal networking and updated information technology system. Employees were also assured of no salary or wage deduction throughout the entire period on top of the various assistance provided by the company to safeguard the livelihood of the employees.The crisis also reiterated the importance of an established, well executed safety and health system within our operations as shown in our ability to deliver the necessary awareness regarding COVID-19 to the employees, execute all the safety measures according to the newly developed guidelines and standard operating procedures provided by the government as well as the preventive measures required to prevent any potential infection within the operations.Finally, from the perspective of biodiversity and wildlife conservation, the COVID-19 pandemic, thought to be zoonotic in origin, has also highlighted the effect of human-wildlife interactions. Increasing threat to wildlife from poaching and illegal animal trade have been shown to increase the potential appearance of new diseases in the future. IOI takes this matter seriously through our commitments on biodiversity conservation and protection of Rare, Threatened, and Endangered (""RTE"") species. A new guideline on biodiversity and conservation has been prepared to provide detailed guidance on managing and protecting wildlife within our operations.Because of the Plant Your Own Food Initiative, we can provide not only for the needs of our own households but also share our harvest with each other. One of the strategies is by the planting of high yielding clonal palms, with the highest clonal planting hectarage up to 54% and 34% in selected estate groups in Peninsular Malaysia and Sabah respectively. In addition to high yielding clonal palms, semiclonal palms derived from elite clonal Dura crossed with selected Pisifera (""DxP"") for oil yield enhancement will also be planted. To date, planting of high yielding clonal palms contributes between 25 to 50% of planting materials in suitable locations in IOI's annual replanting programme. As an example of the success of our programme, IOI's Bukit Leelau Palm Oil Mill in May 2020, achieved an average Oil Extraction Rate (""OER"") of 24.83%, the highest OER achievement in Peninsular Malaysia.Aside from breeding programmes, IOI is also focusing its research on oil palm genetic diversity studies, Deoxyribonucleic acid (""DNA"") fingerprinting, Quantitative Trait Locus (""QTL"") mapping and molecular markers development. An immediate goal is the development of IOI's Simple Sequence Repeat (""SSR"") fingerprinting panel to be used as a quality control tool to produce DNA-authenticated DxP seeds, breeding materials and clones. This will help ensure only high purity DxP seeds, fidelity (true-to-type) clonal ramets and semi/bi-clonal seeds are produced from legitimate crosses and ortets in IOI.Tissue culture lab at IOI Palm Biotech Sdn Bhd technology Integration","['Having good governance in place is crucial in ensuring appropriate actions are taken to handle a crisis. This is even more so during the COVID-19 pandemic and IOI was able to demonstrate our good governance through our ability to operate more or less as usual. Such assurance was demonstrated during the MCO when we managed to assure our employees, suppliers, customers and investors that most of the operations are still able to operate through well-established guidelines and SOP, strong internal networking and updated information technology system. Employees were also assured of no salary or wage deduction throughout the entire period on top of the various assistance provided by the company to safeguard the livelihood of the employees.', 'The crisis also reiterated the importance of an established, well executed safety and health system within our operations as shown in our ability to deliver the necessary awareness regarding COVID-19 to the employees, execute all the safety measures according to the newly developed guidelines and standard operating procedures provided by the government as well as the preventive measures required to prevent any potential infection within the operations.', 'Finally, from the perspective of biodiversity and wildlife conservation, the COVID-19 pandemic, thought to be zoonotic in origin, has also highlighted the effect of human-wildlife interactions. Increasing threat to wildlife from poaching and illegal animal trade have been shown to increase the potential appearance of new diseases in the future. IOI takes this matter seriously through our commitments on biodiversity conservation and protection of Rare, Threatened, and Endangered (""RTE"") species. A new guideline on biodiversity and conservation has been prepared to provide detailed guidance on managing and protecting wildlife within our operations.', 'Because of the Plant Your Own Food Initiative, we can provide not only for the needs of our own households but also share our harvest with each other. One of the strategies is by the planting of high yielding clonal palms, with the highest clonal planting hectarage up to 54% and 34% in selected estate groups in Peninsular Malaysia and Sabah respectively. In addition to high yielding clonal palms, semiclonal palms derived from elite clonal Dura crossed with selected Pisifera (""DxP"") for oil yield enhancement will also be planted. To date, planting of high yielding clonal palms contributes between 25 to 50% of planting materials in suitable locations in IOI\'s annual replanting programme. As an example of the success of our programme, IOI\'s Bukit Leelau Palm Oil Mill in May 2020, achieved an average Oil Extraction Rate (""OER"") of 24.83%, the highest OER achievement in Peninsular Malaysia.', 'Aside from breeding programmes, IOI is also focusing its research on oil palm genetic diversity studies, Deoxyribonucleic acid (""DNA"") fingerprinting, Quantitative Trait Locus (""QTL"") mapping and molecular markers development. An immediate goal is the development of IOI\'s Simple Sequence Repeat (""SSR"") fingerprinting panel to be used as a quality control tool to produce DNA-authenticated DxP seeds, breeding materials and clones. This will help ensure only high purity DxP seeds, fidelity (true-to-type) clonal ramets and semi/bi-clonal seeds are produced from legitimate crosses and ortets in IOI.', 'Tissue culture lab at IOI Palm Biotech Sdn Bhd technology Integration']"
67,"Integrated management systemIOI is progressively establishing SAP system in its operating units as part of the digital transformation initiative to bring together all the analytical and transactional capabilities of a plethora of systems onto one location. This enables improved performance and better decision making process by allowing users to plan, execute, generate reports and analytics based on live data, as well as triggering period closing and providing improved predictions.Within the given timeframe, IOI has launched the second Go-Live roll out of our ONE IOI Integrated Platform at Ladang Sabah and Mayvin Group in Sandakan Region, and Unico Group in Lahad Datu Region. In July 2020, we have implemented the SAP system in approximately 75% of the operating units and we expect to complete the implementation by year end 2020.","['IOI is progressively establishing SAP system in its operating units as part of the digital transformation initiative to bring together all the analytical and transactional capabilities of a plethora of systems onto one location. This enables improved performance and better decision making process by allowing users to plan, execute, generate reports and analytics based on live data, as well as triggering period closing and providing improved predictions.', 'Within the given timeframe, IOI has launched the second Go-Live roll out of our ONE IOI Integrated Platform at Ladang Sabah and Mayvin Group in Sandakan Region, and Unico Group in Lahad Datu Region. In July 2020, we have implemented the SAP system in approximately 75% of the operating units and we expect to complete the implementation by year end 2020.']"
68,Mechanisation of FFB evacuationEmployees at Baturong Oil Mill received their first salary through e-wallet.Thermal imaging for fire monitoring,"['Employees at Baturong Oil Mill received their first salary through e-wallet.', 'Thermal imaging for fire monitoring']"
69,"Field mechanisation in oil PalmMechanisation was introduced at IOI as part of the solution to improve productivity and reduce workers dependency on laborious tasks. For example, in December 2019, Main Line FFB Evacuation system was utilised at the Gomali Plantation complex where infield FFB collected at the collection platform was loaded using a grabber and then transported by tractor to the palm oil mill for processing. The FFB collection team was able to mechanically load 30 to 40 MT of FFB a day to the mill compared to the conventional system that can only load 10 to 12 MT of FFB a day. Mechanical buffaloes and power wheelbarrows are also employed at difficult terrains to make the FFB evacuation process easier.Aside from elimination of laborious tasks, mechanisation provides opportunity to retain skilled workers through increased productivity and salary as shown in our pilot study on Main Line FFB Evacuation system at Gomali Estate which also showed a 50% reduction of labour usage.Several other mechanisation initiatives currently on trial are utilisation of Husqvarna Palm Pruner for pruning of immature palm, precise pesticide spraying using drone and removing trash at palm circle using Cifarelli blower.","['Mechanisation was introduced at IOI as part of the solution to improve productivity and reduce workers dependency on laborious tasks. For example, in December 2019, Main Line FFB Evacuation system was utilised at the Gomali Plantation complex where infield FFB collected at the collection platform was loaded using a grabber and then transported by tractor to the palm oil mill for processing. The FFB collection team was able to mechanically load 30 to 40 MT of FFB a day to the mill compared to the conventional system that can only load 10 to 12 MT of FFB a day. Mechanical buffaloes and power wheelbarrows are also employed at difficult terrains to make the FFB evacuation process easier.', 'Aside from elimination of laborious tasks, mechanisation provides opportunity to retain skilled workers through increased productivity and salary as shown in our pilot study on Main Line FFB Evacuation system at Gomali Estate which also showed a 50% reduction of labour usage.', 'Several other mechanisation initiatives currently on trial are utilisation of Husqvarna Palm Pruner for pruning of immature palm, precise pesticide spraying using drone and removing trash at palm circle using Cifarelli blower.']"
70,"digital & cashless salary systemIOI collaborated with Merchantrade Asia Sdn Bhd to launch a digital wallet service on 1 February 2020. The system provides simplification of salary disbursement to our workers through online banking platform such as transferring money to their home country and is especially practical for applications in remote areas as well as at convenient stores. This system has also benefited the workers as they can now easily receive their monthly salary and track their expenses through mobile phones, make purchases without the need to carry cash in hand, remit money easily to their family and withdraw cash anytime through automated teller machine.","['IOI collaborated with Merchantrade Asia Sdn Bhd to launch a digital wallet service on 1 February 2020. The system provides simplification of salary disbursement to our workers through online banking platform such as transferring money to their home country and is especially practical for applications in remote areas as well as at convenient stores. This system has also benefited the workers as they can now easily receive their monthly salary and track their expenses through mobile phones, make purchases without the need to carry cash in hand, remit money easily to their family and withdraw cash anytime through automated teller machine.']"
71,"digitalisation and automationIOI is also using digitalisation and automation to improve operational efficiency. Our oleochemical plant at Prai is pioneering the digitalisation process through the implementation of the Realtime Production Organiser Operation Management (""RPO-OM"") that works together with the Energy Management System to monitor and optimise energy use in operations. Both systems are in the initial development phase.A new Environment Sustainability Data Entry (""ESDE"") system has also been developed and scheduled for roll-out in 2020. The system will serve as an internal central database and will allow effective monitoring of all sustainability-related KPIs for IOI oleochemical operations.","['IOI is also using digitalisation and automation to improve operational efficiency. Our oleochemical plant at Prai is pioneering the digitalisation process through the implementation of the Realtime Production Organiser Operation Management (""RPO-OM"") that works together with the Energy Management System to monitor and optimise energy use in operations. Both systems are in the initial development phase.', 'A new Environment Sustainability Data Entry (""ESDE"") system has also been developed and scheduled for roll-out in 2020. The system will serve as an internal central database and will allow effective monitoring of all sustainability-related KPIs for IOI oleochemical operations.']"
72,"drone thermal Imaging technologyDrone thermal imaging is the latest technology that is currently being used by our firefighting team to assist in early fire detection. The customised drone for heat monitoring is equipped with a 4K sensor for light capture and a FLIR Lepton thermal micro camera for thermal imaging. The system allows fire hotspot monitoring to be conducted at night, as well as in smoky or foggy condition. Multispectral dynamic imaging, incorporates high-quality light detail into thermal imagery in real time to enhance visual detail, allowing quick identification and interpretation of critical data that may not be immediately visible to the naked eye.Furthermore, the ability of this technology to display the average temperature of an object from far allows rapid monitoring to be done at locations which is not accessible readily, as for example due to safety issues. This technology is also particularly important for monitoring at peatland areas where fires sometimes occur underground with no real indication as there are no observable fires above ground.","['Drone thermal imaging is the latest technology that is currently being used by our firefighting team to assist in early fire detection. The customised drone for heat monitoring is equipped with a 4K sensor for light capture and a FLIR Lepton thermal micro camera for thermal imaging. The system allows fire hotspot monitoring to be conducted at night, as well as in smoky or foggy condition. Multispectral dynamic imaging, incorporates high-quality light detail into thermal imagery in real time to enhance visual detail, allowing quick identification and interpretation of critical data that may not be immediately visible to the naked eye.', 'Furthermore, the ability of this technology to display the average temperature of an object from far allows rapid monitoring to be done at locations which is not accessible readily, as for example due to safety issues. This technology is also particularly important for monitoring at peatland areas where fires sometimes occur underground with no real indication as there are no observable fires above ground.']"
73,"Product InnovationWhile some European manufacturers are going towards the direction of palm oil free products in the mistaken believe that this will stop deforestation, IOI GmbH, with its ample supply of certified sustainable palm oil (""CSPO"") from IOI's plantation operations, decided to advocate for producing products that contain sustainably sourced palm oil. They undertook this by converting the whole palm-based raw material portfolio into RSPO Mass Balance (""MB"") certified palm oil to meet the growing demand of the personal care industry. In fact, both IOI's German manufacturing sites in Witten and Wittenberge committed to convert its entire production to sourcing 100% RSPO MB grade materials for its personal care products.Aside from supporting the uptake of CSPO, this commitment also increased the value of our products by meeting the strict requirements of COSMOS for organic and/or natural cosmetics.The combination of utilising CSPO and receiving approval by COSMOS have proven to be a great success to the sales of products where the sales volume increased by two-folds. This is a great example of how our commitment towards the 3Ps (People, Planet & Prosperity) works hand in hand.","['While some European manufacturers are going towards the direction of palm oil free products in the mistaken believe that this will stop deforestation, IOI GmbH, with its ample supply of certified sustainable palm oil (""CSPO"") from IOI\'s plantation operations, decided to advocate for producing products that contain sustainably sourced palm oil. They undertook this by converting the whole palm-based raw material portfolio into RSPO Mass Balance (""MB"") certified palm oil to meet the growing demand of the personal care industry. In fact, both IOI\'s German manufacturing sites in Witten and Wittenberge committed to convert its entire production to sourcing 100% RSPO MB grade materials for its personal care products.', 'Aside from supporting the uptake of CSPO, this commitment also increased the value of our products by meeting the strict requirements of COSMOS for organic and/or natural cosmetics.', 'The combination of utilising CSPO and receiving approval by COSMOS have proven to be a great success to the sales of products where the sales volume increased by two-folds. This is a great example of how our commitment towards the 3Ps (People, Planet & Prosperity) works hand in hand.']"
74,Innovation in Process manufacturing and ProductsRequirements of Ecocert's COSMOS approved productsEnvironmentally friendly production and processing processes respecting human,"[""Requirements of Ecocert's COSMOS approved products"", 'Environmentally friendly production and processing processes respecting human']"
75,Development of the concept of greenResponsible use of natural resources,['Responsible use of natural resources']
76,"Absence of petrochemical ingredientAbsence of genetically modified organism (""GMO"")","['Absence of genetically modified organism (""GMO"")']"
77,"Product Quality ImprovementIOIEO has adopted the latest technology in analytical science for testing 3-monochloropropanediol (""3-MCPDE"") and Glycidyl fatty acid Esters (""GE"") in refined palm oil and palm kernel products after equipping the refinery with a Gas Chromatography-Mass Spectroscopy (""GC-MS"") for quality control. Both 3-MCPD and GE are known food processing compounds found in the vegetable oils during refining process. Improved quality control and refining process has enabled IOIEO to produce low GE RBDOL (Refined, Bleached, Deodorised Palm Olein) below 4 ppm to meet buyer's demand. Our workforce is the most important asset of our operations as activities such as seed production, oil palm planting and management, up to the extraction, refining and oleochemical manufacturing process, all require high degree of human intervention. With a strong workforce of about 30,000 worldwide, we are proud that we are able to contribute to society by providing jobs and opportunities to increase their standard of living. On top of this, IOI commits, based on our SPOP, to upholding the wellbeing of our employees by ensuring that our labour practices are aligned with internationally-recognised standards and to continuously implement best management practices that are in compliance with the requirements of human rights.IOI had published in 2017, the Foreign Workers Recruitment Guideline & Procedure that we had developed with various stakeholders including NGOs. These guidelines provided a step-wise approach in ensuring every aspect of the recruitment process is being conducted accordingly. All job applicants have been given similar employment opportunities in IOI as per the Equal Opportunity Employment & Freedom of Association Policy. However, due to the nature of work in the oil palm estates which is more physically demanding, most of our applicants are male. As a result, the breakdown of our workforce shows 70% of our employees are male. However, with the adoption of mechanisation in laborious field work, more female employees may be attracted to work in the estates in future.","['IOIEO has adopted the latest technology in analytical science for testing 3-monochloropropanediol (""3-MCPDE"") and Glycidyl fatty acid Esters (""GE"") in refined palm oil and palm kernel products after equipping the refinery with a Gas Chromatography-Mass Spectroscopy (""GC-MS"") for quality control. Both 3-MCPD and GE are known food processing compounds found in the vegetable oils during refining process. Improved quality control and refining process has enabled IOIEO to produce low GE RBDOL (Refined, Bleached, Deodorised Palm Olein) below 4 ppm to meet buyer\'s demand. Our workforce is the most important asset of our operations as activities such as seed production, oil palm planting and management, up to the extraction, refining and oleochemical manufacturing process, all require high degree of human intervention. With a strong workforce of about 30,000 worldwide, we are proud that we are able to contribute to society by providing jobs and opportunities to increase their standard of living. On top of this, IOI commits, based on our SPOP, to upholding the wellbeing of our employees by ensuring that our labour practices are aligned with internationally-recognised standards and to continuously implement best management practices that are in compliance with the requirements of human rights.', 'IOI had published in 2017, the Foreign Workers Recruitment Guideline & Procedure that we had developed with various stakeholders including NGOs. These guidelines provided a step-wise approach in ensuring every aspect of the recruitment process is being conducted accordingly. All job applicants have been given similar employment opportunities in IOI as per the Equal Opportunity Employment & Freedom of Association Policy. However, due to the nature of work in the oil palm estates which is more physically demanding, most of our applicants are male. As a result, the breakdown of our workforce shows 70% of our employees are male. However, with the adoption of mechanisation in laborious field work, more female employees may be attracted to work in the estates in future.']"
78,"oUR PeRFoRmance system for monitoring of Human Rights and labour conditionsIOI was the earliest company in this industry to publicly commit not to charge foreign workers with recruitment-related fees. We had also placed KPIs on our estate managers stating that they must take proactive measures such as training to increase the workers' productivity with target earnings more than the minimum wage for each worker working during normal working hours.All these commitments have been well adopted across the operations since 2017. In order to ensure continuous and consistent practices within the group, a comprehensive labour rights monitoring checklist was formulated and implemented at the plantations in Sabah and Peninsular Malaysia and further expanded to the Indonesia operations in November 2019. The Plantation Sustainability team continued to conduct internal audits on the monitoring of human rights and labour conditions based on the monitoring checklist. ","[""IOI was the earliest company in this industry to publicly commit not to charge foreign workers with recruitment-related fees. We had also placed KPIs on our estate managers stating that they must take proactive measures such as training to increase the workers' productivity with target earnings more than the minimum wage for each worker working during normal working hours."", 'All these commitments have been well adopted across the operations since 2017. In order to ensure continuous and consistent practices within the group, a comprehensive labour rights monitoring checklist was formulated and implemented at the plantations in Sabah and Peninsular Malaysia and further expanded to the Indonesia operations in November 2019. The Plantation Sustainability team continued to conduct internal audits on the monitoring of human rights and labour conditions based on the monitoring checklist. ']"
79,"Workers' Retention in IoIIn recognising the importance of good labour and human rights practices in retaining workers in the plantation industry, IOI in collaboration with Earthworm Foundation has produced a video to showcase positive impacts of good labour and human rights practices to the industry. The video highlighted measures including adopting internationally recognised labour and human rights standards which has resulted in an increase in productivity and reduction in abscondment rate by almost 30%. Through various testimonials from migrant workers and our estate management, the video also illustrates how good labour and human rights practices can be part of effective labour retention strategies. The video has been publicly uploaded at Youtube 1 .Implementation of good labour and human rights practices is evident in IOI as the total workers increased from 23,749 as reported in our last report to 23,809 in this reporting period.On 23 December 2019, IOI set another milestone with the signing of three collective agreements with the National Union of Plantation Workers (""NUPW"") which came into effect from 1 January 2020 to 31 December 2022. These agreements will set the baseline of employees' wages and employment conditions on top of the benefits that IOI is providing to the workers, including but not limited to conducive working and living conditions, medical benefits, and education facilities for their children. ","['In recognising the importance of good labour and human rights practices in retaining workers in the plantation industry, IOI in collaboration with Earthworm Foundation has produced a video to showcase positive impacts of good labour and human rights practices to the industry. The video highlighted measures including adopting internationally recognised labour and human rights standards which has resulted in an increase in productivity and reduction in abscondment rate by almost 30%. Through various testimonials from migrant workers and our estate management, the video also illustrates how good labour and human rights practices can be part of effective labour retention strategies. The video has been publicly uploaded at Youtube 1 .', 'Implementation of good labour and human rights practices is evident in IOI as the total workers increased from 23,749 as reported in our last report to 23,809 in this reporting period.', 'On 23 December 2019, IOI set another milestone with the signing of three collective agreements with the National Union of Plantation Workers (""NUPW"") which came into effect from 1 January 2020 to 31 December 2022. These agreements will set the baseline of employees\' wages and employment conditions on top of the benefits that IOI is providing to the workers, including but not limited to conducive working and living conditions, medical benefits, and education facilities for their children. ']"
80,"SUSTAINABILITY FOCUS AREASThe WEC aims to provide a platform for women employees to discuss any issues that may affect them, such as sexual harassment, violence towards women, discrimination, women's welfare and workplace related issues as well as to undertake and explore opportunities in empowering women at the workplace.The launching event was organised by the regional sustainability teams together with the plantation management and was attended by more than 400 employees and female dependents from plantation units throughout IOI Plantations. Among the activities organised were zumba/ aerobic dance, health screening, education on prevention of COVID-19, self-defence demonstrations and games to strengthen teamwork among the participants.The launching event also marked the beginning of many more exciting activities that could eventually empower the women in our plantation community, in line with the theme of International Women's Day #EachforEqual. ","[""The WEC aims to provide a platform for women employees to discuss any issues that may affect them, such as sexual harassment, violence towards women, discrimination, women's welfare and workplace related issues as well as to undertake and explore opportunities in empowering women at the workplace."", 'The launching event was organised by the regional sustainability teams together with the plantation management and was attended by more than 400 employees and female dependents from plantation units throughout IOI Plantations. Among the activities organised were zumba/ aerobic dance, health screening, education on prevention of COVID-19, self-defence demonstrations and games to strengthen teamwork among the participants.', ""The launching event also marked the beginning of many more exciting activities that could eventually empower the women in our plantation community, in line with the theme of International Women's Day #EachforEqual. ""]"
81,"aiming for Zero accidentIn order to achieve its ""Zero Accident"" aim, IOI Oleo is committed to build a stronger prevention culture by introducing the 3E (Engagement, Empowerment, Enforcement). The 3E programme is meant as a further complement to the 3S (Sihat, Selamat, Semangat) theme under the global-based Vision Zero Malaysia campaign to reduce occupational accidents and the spread of diseases that has been introduced at the workplace.During the Safety Week 2020, which ran from 10 to 14 February 2020, IOI Oleo had about 400 participants (employees and contractors) involved in such activities as enhancement on competency and engagement with employees working on the ground. The 3S programme achieved the initial objective of inculcating a zero-tolerance mindset towards workplace accidents in order to achieve a zero-accident rate for Malaysia's Vision Zero.","['In order to achieve its ""Zero Accident"" aim, IOI Oleo is committed to build a stronger prevention culture by introducing the 3E (Engagement, Empowerment, Enforcement). The 3E programme is meant as a further complement to the 3S (Sihat, Selamat, Semangat) theme under the global-based Vision Zero Malaysia campaign to reduce occupational accidents and the spread of diseases that has been introduced at the workplace.', ""During the Safety Week 2020, which ran from 10 to 14 February 2020, IOI Oleo had about 400 participants (employees and contractors) involved in such activities as enhancement on competency and engagement with employees working on the ground. The 3S programme achieved the initial objective of inculcating a zero-tolerance mindset towards workplace accidents in order to achieve a zero-accident rate for Malaysia's Vision Zero.""]"
82,"occUPatIonal saFetY and HealtH manaGement aPPRoacHIOI firmly holds in the belief that a safe, healthy and harmonious working environment for all our employees across our operations as well as for others who may potentially be affected by our operations, are of critical importance, especially so during the COVID-19 pandemic. We are governed by our Occupational Safety, Health and Hygiene Policy 1 which holistically covers commitments on legal compliance, risk identification and controls, and necessary procedures to minimise safety and health hazards. We continuously aim and work towards zero accidents at our operations through proactive risk identification, risk management and continuous improvement to prevent future incidents. These policies and guidelines are further encapsulated in our SPOP under ""Human Rights and Workplace"". Additionally, IOI's involvements and participations in various internationally recognised certifications drive us to maintain the operations at a high level of compliance to safety and health requirements. emergency Response team (""eRt"") competitionIOIEO and IBE co-organised an inter-department Emergency Response Team Competition on 7 March 2020. Six teams comprised of 14 members from single or combined departments took part in the competition that evaluated their emergency response preparedness and response in the event of an emergency. The competition includes application of fire-fighting skills such as fire hydrant-canvas hosenozzle assembly, fire extinguishing, Iron Man challenge and Self-Contained Breathing Apparatus (""SCBA"") challenge. This event clearly lifted team spirit and loyalty among the employees. The qA/PKDF team eventually emerged as the victor after fierce competition from other teams who had performed equally well.","['IOI firmly holds in the belief that a safe, healthy and harmonious working environment for all our employees across our operations as well as for others who may potentially be affected by our operations, are of critical importance, especially so during the COVID-19 pandemic. We are governed by our Occupational Safety, Health and Hygiene Policy 1 which holistically covers commitments on legal compliance, risk identification and controls, and necessary procedures to minimise safety and health hazards. We continuously aim and work towards zero accidents at our operations through proactive risk identification, risk management and continuous improvement to prevent future incidents. These policies and guidelines are further encapsulated in our SPOP under ""Human Rights and Workplace"". Additionally, IOI\'s involvements and participations in various internationally recognised certifications drive us to maintain the operations at a high level of compliance to safety and health requirements. emergency Response team (""eRt"") competition', 'IOIEO and IBE co-organised an inter-department Emergency Response Team Competition on 7 March 2020. Six teams comprised of 14 members from single or combined departments took part in the competition that evaluated their emergency response preparedness and response in the event of an emergency. The competition includes application of fire-fighting skills such as fire hydrant-canvas hosenozzle assembly, fire extinguishing, Iron Man challenge and Self-Contained Breathing Apparatus (""SCBA"") challenge. This event clearly lifted team spirit and loyalty among the employees. The qA/PKDF team eventually emerged as the victor after fierce competition from other teams who had performed equally well.']"
83,"competency training Programme""Working at height"" is defined as working at a place that is above ground/floor level where a person is liable to being injured by falling. As the risk of falling from height is one of the main concerns, estates at IOI Lahad Datu Region initiated a Working at Height Competency Training Programme from 8 to 11 July 2019 for their estate workers. The participants were trained on the theoretical and practical aspects of managing the associated risks such as hazards identification, risk assessments, safety knot tying, ladder safety inspection, utilising proper working and fall protection equipments as well as work positioning system.It is necessary to lead the change in workplace culture to encourage each individual to work together and address health, safety and environment-related issues.","['""Working at height"" is defined as working at a place that is above ground/floor level where a person is liable to being injured by falling. As the risk of falling from height is one of the main concerns, estates at IOI Lahad Datu Region initiated a Working at Height Competency Training Programme from 8 to 11 July 2019 for their estate workers. The participants were trained on the theoretical and practical aspects of managing the associated risks such as hazards identification, risk assessments, safety knot tying, ladder safety inspection, utilising proper working and fall protection equipments as well as work positioning system.', 'It is necessary to lead the change in workplace culture to encourage each individual to work together and address health, safety and environment-related issues.']"
84,"Gurdev Singh, Chief Operating Officer of IOI Pan-CenAiming for Zero Accident 60 61",['Aiming for Zero Accident 60 61']
85,"manaGement aPPRoacHIn May 2020, IOI further strengthened our SPOP by including new commitments especially on biodiversity conservation and protection of Rare, Threatened and Endangered (""RTE"") species. We followed this by revamping our Environmental Management As IOI believes that where environment management and conservation are concerned, environmental education to cultivate awareness on their importance must be inculcated into future generations. In the meantime, rehabilitation activities, wildlife rescue missions and monitoring of threats to wildlife must also be carried out with relevant stakeholders to enhance the values of the programmes while meeting the company's commitments on environmental management.","['In May 2020, IOI further strengthened our SPOP by including new commitments especially on biodiversity conservation and protection of Rare, Threatened and Endangered (""RTE"") species. We followed this by revamping our Environmental Management As IOI believes that where environment management and conservation are concerned, environmental education to cultivate awareness on their importance must be inculcated into future generations. In the meantime, rehabilitation activities, wildlife rescue missions and monitoring of threats to wildlife must also be carried out with relevant stakeholders to enhance the values of the programmes while meeting the company\'s commitments on environmental management.']"
86,"oUR PeRFoRmance environmental awareness & education 22 nd environmental education RaceIOI Sandakan Region was one of the partners and co-organisers of the 22 nd Environmental Educational Race (""EERace""), an annual environmental educational programme together with the Rainforest Discovery Centre (""RDC""). In June 2019, 36 schools from all over Sabah raced to complete activities and tasks such as calculating minimum wages through the collection of oil palm fruitlets, measuring the width of riparian zones according to regulations, undertaking scheduled waste management as well as other sustainability practices in IOI Pamol Group's Estates in line with the race's objectives. The race was eventually won by a group of educationist consists of education officers and teachers.","['IOI Sandakan Region was one of the partners and co-organisers of the 22 nd Environmental Educational Race (""EERace""), an annual environmental educational programme together with the Rainforest Discovery Centre (""RDC""). In June 2019, 36 schools from all over Sabah raced to complete activities and tasks such as calculating minimum wages through the collection of oil palm fruitlets, measuring the width of riparian zones according to regulations, undertaking scheduled waste management as well as other sustainability practices in IOI Pamol Group\'s Estates in line with the race\'s objectives. The race was eventually won by a group of educationist consists of education officers and teachers.']"
87,"orangutan conservation outreach ProgrammeIn order to promote wildlife conservation and increase knowledge of sustainability measures, IOI organised a two day Sepilok Orangutan ","['In order to promote wildlife conservation and increase knowledge of sustainability measures, IOI organised a two day Sepilok Orangutan ']"
